b;blake2;md4;sha1;sha2;sha3
16;0.04797313078961367;0.048059835918947885;0.048109418313194784;0.04757360114411737;0.04752997208426122
24;0.035954918107476315;0.03544314900805823;0.03540087331808786;0.0356281373255115;0.03537717261156116
32;0.035468253684858043;0.035422340404502616;0.03495884669135002;0.03534429196902953;0.03563030659422791
40;0.03550024686030445;0.035587583208346936;0.035693977925057005;0.034967551233257205;0.035425955934431125
48;0.03523173739280204;0.03524827525615442;0.03595646234280062;0.03617849484360955;0.03603130196492289
