(u; l; n = 2, 10%, 25%, 50%, 75%, 90%, 100%)
10; 4; 0.7829 0.6903 0.7859 0.7531 0.721 0.6823 0.6728
20; 5; 0.7973 0.7948 0.7886 0.7483 0.7133 0.693 0.675
30; 5; 0.797 0.8013 0.783 0.713 0.6608 0.6209 0.5846
40; 6; 0.8048 0.8032 0.7928 0.7452 0.712 0.6847 0.6679
50; 6; 0.8096 0.8047 0.7802 0.7306 0.6878 0.6469 0.6336
60; 6; 0.7985 0.8003 0.7707 0.7174 0.6535 0.6183 0.5818
70; 7; 0.8059 0.8055 0.7901 0.7598 0.7257 0.7038 0.696
80; 7; 0.8109 0.8086 0.7823 0.7524 0.7111 0.6808 0.6836
90; 7; 0.808 0.8017 0.7799 0.7371 0.6971 0.6654 0.6497
100; 7; 0.8008 0.7905 0.7713 0.7296 0.6876 0.649 0.6403
200; 8; 0.814 0.7966 0.7894 0.7323 0.6851 0.6601 0.6315
300; 9; 0.8076 0.7933 0.7787 0.7524 0.7213 0.6956 0.6779
400; 9; 0.809 0.7939 0.7723 0.7261 0.681 0.6495 0.6344
500; 9; 0.8123 0.7963 0.7626 0.7044 0.6485 0.6139 0.5782
600; 10; 0.8063 0.8054 0.7824 0.748 0.7126 0.7024 0.6761
700; 10; 0.8094 0.7936 0.7727 0.7431 0.6999 0.673 0.6611
800; 10; 0.8104 0.7945 0.7707 0.7237 0.6812 0.6577 0.6364
900; 10; 0.8079 0.7899 0.7699 0.7188 0.6694 0.6332 0.6011
1000; 10; 0.8111 0.7987 0.7649 0.7047 0.6348 0.6097 0.5787
2000; 11; 0.8045 0.7879 0.7624 0.7037 0.6537 0.6091 0.5644
3000; 12; 0.8144 0.7949 0.7745 0.7474 0.7037 0.67 0.6481
4000; 12; 0.8115 0.8046 0.7608 0.7172 0.6449 0.6039 0.5905
5000; 13; 0.8104 0.7968 0.7831 0.7449 0.7146 0.6971 0.6755
